VenId,VenName,Location,Capacity,VenuDescription,Rental_price
87,Schuppe-Hegmann,4696 Jackson Parkway,1231,Complete event package with bar and DJ,21000
88,"Hilll, Toy and Bergnaum",21942 Scoville Park,1388,Luxury venue for private and corporate events,75000
89,"Abbott, Bechtelar and Davis",3518 Forster Center,1307,Complete event package with bar and DJ,55000
90,Stracke-Hammes,42565 Roxbury Parkway,59,Elegant design with adjacent parking,100000
91,"Koss, Wiza and Weber",29714 Hanover Circle,55,Elegant design with adjacent parking,18000
92,McKenzie LLC,41 Thierer Terrace,1200,Suitable for events up to 1000 guests,1000
93,Leannon and Sons,5861 Marcy Drive,874,"Includes dance floor, professional lighting and sound system",31000
94,"Blanda, Lueilwitz and Gislason",5975 Service Park,165,Suitable for events up to 1000 guests,15000
95,"Gleichner, Champlin and Dicki",722 Bonner Court,1266,Complete event package with bar and DJ,45000
96,Sauer and Sons,05085 Kedzie Avenue,953,Unforgettable hosting experience in a grand hall,13000
97,Hickle LLC,58 Porter Junction,114,Luxury venue for private and corporate events,90000
98,Osinski LLC,7747 Briar Crest Pass,1351,"Designed space for weddings, bar mitzvahs, and conferences",8000
99,Ryan LLC,108 Annamark Way,1433,Modern hall with full catering services,16000
100,"Quitzon, Bogan and Kuhic",90086 Northland Court,1072,"Includes dance floor, professional lighting and sound system",100000
101,Schuppe-Welch,67549 Walton Place,667,Elegant design with adjacent parking,97000
102,Blanda-Kemmer,41929 Walton Drive,1337,Elegant design with adjacent parking,71000
103,Hills LLC,39092 Hallows Pass,803,"Includes dance floor, professional lighting and sound system",3000
104,Beatty-Brown,9 Granby Lane,201,Unforgettable hosting experience in a grand hall,76000
105,"Boyle, Sawayn and Rosenbaum",18729 Merchant Terrace,705,Luxury venue for private and corporate events,51000
106,Berge-Flatley,00436 Scoville Lane,797,Luxury venue for private and corporate events,57000
107,Streich Inc,566 Eastwood Plaza,157,"Designed space for weddings, bar mitzvahs, and conferences",93000
108,"Volkman, Zieme and Kemmer",66243 Mcguire Center,195,Suitable for events up to 1000 guests,62000
109,"Goodwin, Jones and Langosh",89 Hermina Way,275,Elegant design with adjacent parking,76000
110,Murphy Inc,061 Dawn Terrace,1118,Luxury venue for private and corporate events,62000
111,"Roob, Schmidt and Cassin",6192 Cascade Drive,239,Complete event package with bar and DJ,22000
112,"Hills, Sauer and Pagac",88359 Hollow Ridge Alley,770,Modern hall with full catering services,11000
113,Lockman Inc,22 Merrick Point,919,Modern hall with full catering services,28000
114,Kertzmann-Kemmer,9 Sunfield Road,424,Suitable for events up to 1000 guests,59000
115,Heathcote-Stark,37385 Sycamore Point,444,Modern hall with full catering services,52000
116,Kris-Mueller,5057 Porter Plaza,515,"Designed space for weddings, bar mitzvahs, and conferences",21000
117,West and Sons,2 Emmet Street,1174,Modern hall with full catering services,64000
118,"West, Marks and Donnelly",71222 Montana Terrace,411,"Includes dance floor, professional lighting and sound system",39000
119,Bahringer Inc,1679 Harbort Street,1374,Unforgettable hosting experience in a grand hall,68000
120,"Jones, Pfeffer and Bernier",56928 Carberry Drive,1040,"Designed space for weddings, bar mitzvahs, and conferences",81000
121,"Stracke, Kozey and Shields",4843 Hallows Road,166,"Designed space for weddings, bar mitzvahs, and conferences",29000
122,Schuster-Will,1450 Mariners Cove Hill,677,Modern hall with full catering services,21000
123,Haag-Hettinger,79 Vahlen Circle,892,"Designed space for weddings, bar mitzvahs, and conferences",11000
124,Bergnaum and Sons,12268 Ronald Regan Trail,342,Elegant design with adjacent parking,53000
125,"Mohr, McGlynn and Fritsch",15377 Knutson Alley,1298,Suitable for events up to 1000 guests,89000
126,"Gottlieb, Paucek and Tremblay",035 Anzinger Terrace,235,Suitable for events up to 1000 guests,21000
127,Corwin-Fahey,54 Riverside Place,1055,Complete event package with bar and DJ,43000
128,"Veum, Feest and Harvey",82550 Shasta Avenue,123,Elegant design with adjacent parking,9000
129,"Sauer, Bechtelar and Kiehn",074 Washington Court,1280,Luxury venue for private and corporate events,99000
130,Haag Group,69 Grayhawk Drive,888,Includes outdoor garden for ceremonies and open-air events,73000
131,Emmerich-Cartwright,76 7th Circle,937,Elegant design with adjacent parking,69000
132,"Lowe, Bashirian and Kovacek",0 Lukken Avenue,436,"Includes dance floor, professional lighting and sound system",92000
133,Ernser-Crist,2665 Utah Terrace,1326,Includes outdoor garden for ceremonies and open-air events,34000
134,Halvorson Group,0 Mcbride Trail,737,"Includes dance floor, professional lighting and sound system",47000
135,Willms-Bashirian,6103 Leroy Way,71,"Includes dance floor, professional lighting and sound system",15000
136,Gusikowski and Sons,6605 Bunting Alley,1180,Luxury venue for private and corporate events,35000
137,Bednar-Bahringer,75629 Mockingbird Drive,1415,Includes outdoor garden for ceremonies and open-air events,24000
138,Moen-Lesch,25 Lukken Junction,431,Panoramic view and luxurious atmosphere,62000
139,"Osinski, Kub and Vandervort",16 Autumn Leaf Pass,423,"Includes dance floor, professional lighting and sound system",62000
140,Russel-Wintheiser,1724 Warrior Avenue,992,"Designed space for weddings, bar mitzvahs, and conferences",17000
141,"Koss, Wilderman and Romaguera",4410 Dovetail Crossing,1485,Luxury venue for private and corporate events,68000
142,Predovic-Waelchi,11 La Follette Center,166,"Designed space for weddings, bar mitzvahs, and conferences",80000
143,Hessel LLC,6 Ridgeview Pass,888,"Includes dance floor, professional lighting and sound system",45000
144,"Kovacek, Harber and Parisian",311 Westport Trail,1299,Luxury venue for private and corporate events,13000
145,Goyette-Denesik,105 Laurel Alley,197,Modern hall with full catering services,81000
146,"Abshire, Steuber and Hettinger",40 Arizona Lane,663,Unforgettable hosting experience in a grand hall,41000
147,Jerde LLC,68 Vahlen Lane,994,Suitable for events up to 1000 guests,1000
148,Hammes LLC,041 Jenifer Junction,521,Complete event package with bar and DJ,77000
149,"Kassulke, Barrows and Wisoky",4 Truax Place,604,Elegant design with adjacent parking,78000
150,Marks Group,8 Lotheville Trail,1108,Elegant design with adjacent parking,13000
151,"West, McDermott and Robel",9 Surrey Road,1214,Complete event package with bar and DJ,20000
152,"Schmeler, Yundt and Wisoky",6 Moose Hill,522,Panoramic view and luxurious atmosphere,13000
153,"Trantow, Towne and Braun",57 Pleasure Terrace,761,Includes outdoor garden for ceremonies and open-air events,43000
154,Brekke and Sons,9 Jackson Hill,436,Elegant design with adjacent parking,4000
155,Brekke-Pagac,72 Hazelcrest Way,973,Modern hall with full catering services,61000
156,"Kemmer, Nienow and Ernser",8629 Laurel Park,1171,"Designed space for weddings, bar mitzvahs, and conferences",32000
157,"VonRueden, Zboncak and Tillman",6905 Schmedeman Terrace,1214,Unforgettable hosting experience in a grand hall,85000
158,Howe Group,35 Hudson Point,1469,"Includes dance floor, professional lighting and sound system",61000
159,"Goyette, Heathcote and Leuschke",2 Schiller Avenue,1381,Panoramic view and luxurious atmosphere,84000
160,Dibbert LLC,6068 Debra Terrace,850,Suitable for events up to 1000 guests,38000
161,Mann-Wolf,75 Oakridge Court,1443,Elegant design with adjacent parking,37000
162,"Donnelly, Krajcik and Rogahn",7 Anniversary Trail,960,Luxury venue for private and corporate events,47000
163,Kirlin Group,25 Swallow Hill,168,Luxury venue for private and corporate events,14000
164,Cronin LLC,2 Bashford Alley,470,"Designed space for weddings, bar mitzvahs, and conferences",96000
165,Dach-Kulas,08 Northview Place,925,"Designed space for weddings, bar mitzvahs, and conferences",52000
166,Rippin-Krajcik,43 Schlimgen Circle,879,Luxury venue for private and corporate events,2000
167,"Nikolaus, Metz and Kuvalis",8 Lawn Road,663,Panoramic view and luxurious atmosphere,39000
168,Gutmann LLC,31 Ludington Plaza,1188,Modern hall with full catering services,56000
169,Bode-Orn,41806 Manufacturers Alley,1253,Modern hall with full catering services,13000
170,DuBuque Group,1 Sullivan Road,1215,Unforgettable hosting experience in a grand hall,69000
171,Barton LLC,327 East Court,1235,Complete event package with bar and DJ,91000
172,"Reichel, Rohan and Hartmann",1 Northridge Parkway,131,"Designed space for weddings, bar mitzvahs, and conferences",69000
173,"Reichel, Larkin and Batz",922 Jenifer Trail,970,Complete event package with bar and DJ,63000
174,Wisoky LLC,16 Kropf Alley,254,Panoramic view and luxurious atmosphere,46000
175,Rolfson-Abernathy,464 Carpenter Trail,1362,Panoramic view and luxurious atmosphere,42000
176,"White, Rath and Jaskolski",9746 Lindbergh Circle,882,"Designed space for weddings, bar mitzvahs, and conferences",37000
177,Oberbrunner-Fritsch,3 Jenna Parkway,769,Suitable for events up to 1000 guests,78000
178,Fritsch-Kuvalis,791 Birchwood Lane,1455,Panoramic view and luxurious atmosphere,39000
179,Miller-Hand,028 Stone Corner Drive,175,Complete event package with bar and DJ,39000
180,Abernathy and Sons,721 Grover Avenue,139,Modern hall with full catering services,21000
181,"Sawayn, Crona and Berge",975 Judy Avenue,959,Includes outdoor garden for ceremonies and open-air events,91000
182,"Stroman, Auer and Kiehn",579 Thackeray Drive,388,Suitable for events up to 1000 guests,60000
183,Bogan LLC,164 Mitchell Pass,1070,"Designed space for weddings, bar mitzvahs, and conferences",75000
184,Spencer-Labadie,225 Everett Point,223,"Designed space for weddings, bar mitzvahs, and conferences",40000
185,Goodwin Inc,947 Elka Plaza,487,Modern hall with full catering services,85000
186,"Durgan, Ankunding and Hartmann",54723 Fairfield Park,71,Includes outdoor garden for ceremonies and open-air events,44000
187,"Schowalter, Bergstrom and Schneider",8448 Carey Terrace,316,Panoramic view and luxurious atmosphere,86000
188,"Sanford, Ryan and Herman",9064 Del Mar Plaza,1226,Panoramic view and luxurious atmosphere,39000
189,"Schaden, Reilly and Corwin",5 Jenifer Court,339,Unforgettable hosting experience in a grand hall,13000
190,Kilback-Ernser,78262 Dexter Center,306,Suitable for events up to 1000 guests,36000
191,Nitzsche Inc,0097 Iowa Alley,717,Suitable for events up to 1000 guests,76000
192,"Thiel, Monahan and Parker",1312 Annamark Parkway,1116,Elegant design with adjacent parking,9000
193,Jacobson LLC,1961 Towne Pass,656,"Designed space for weddings, bar mitzvahs, and conferences",69000
194,Gottlieb-Willms,12065 La Follette Place,379,Elegant design with adjacent parking,100000
195,Hirthe Group,6 Cherokee Hill,777,Unforgettable hosting experience in a grand hall,68000
196,"Lang, Willms and Ondricka",5938 Lyons Drive,775,Suitable for events up to 1000 guests,96000
197,Heller LLC,8 Ilene Way,689,Luxury venue for private and corporate events,53000
198,Luettgen-Gibson,778 Orin Center,946,Unforgettable hosting experience in a grand hall,93000
199,"Streich, Kunze and Pacocha",6 Hoepker Parkway,1336,Elegant design with adjacent parking,92000
200,"Roberts, Langworth and Gleason",3 Clarendon Parkway,1107,"Includes dance floor, professional lighting and sound system",19000
201,"Mueller, Feeney and Moen",8548 Delaware Street,91,Modern hall with full catering services,55000
202,Blanda Inc,564 Paget Crossing,810,Includes outdoor garden for ceremonies and open-air events,88000
203,"Anderson, Lynch and Farrell",758 Morningstar Center,666,Luxury venue for private and corporate events,5000
204,"Mertz, Pagac and Rohan",67 Lerdahl Point,1044,Elegant design with adjacent parking,19000
205,"Stracke, Christiansen and Weimann",92306 Lakeland Way,712,Panoramic view and luxurious atmosphere,61000
206,Jerde-Hills,56049 Graedel Place,924,Modern hall with full catering services,10000
207,Muller-Trantow,4 Rieder Alley,1427,Elegant design with adjacent parking,19000
208,Jaskolski and Sons,95188 Macpherson Road,662,Modern hall with full catering services,8000
209,Pacocha-Hoppe,6335 Spaight Parkway,579,Complete event package with bar and DJ,60000
210,Adams Group,319 Tomscot Avenue,1249,"Includes dance floor, professional lighting and sound system",40000
211,Mitchell-Nikolaus,02 Bartillon Hill,1458,Modern hall with full catering services,46000
212,Schroeder-Block,80268 Waxwing Crossing,85,Elegant design with adjacent parking,24000
213,Luettgen-Ankunding,5 Holy Cross Road,667,Modern hall with full catering services,57000
214,Klein-Koss,93 Shopko Court,590,Modern hall with full catering services,86000
215,Spinka-Hoeger,536 Grayhawk Park,800,Luxury venue for private and corporate events,6000
216,"Doyle, Pagac and Beahan",3 Badeau Road,993,Complete event package with bar and DJ,17000
217,Bruen Inc,7496 Crescent Oaks Hill,339,Complete event package with bar and DJ,96000
218,Grady and Sons,1796 Eastwood Plaza,962,Suitable for events up to 1000 guests,13000
219,Dickinson and Sons,5665 School Place,154,Modern hall with full catering services,10000
220,"Balistreri, Fritsch and Howell",2486 Melody Hill,217,"Includes dance floor, professional lighting and sound system",35000
221,Schaefer Inc,48 Golf Road,255,Unforgettable hosting experience in a grand hall,9000
222,Klocko and Sons,72105 Lakewood Parkway,1041,Modern hall with full catering services,25000
223,Crist and Sons,6 Alpine Hill,238,Unforgettable hosting experience in a grand hall,41000
224,Lehner LLC,0759 Norway Maple Junction,213,Unforgettable hosting experience in a grand hall,2000
225,"MacGyver, Kessler and Effertz",000 Coolidge Park,1258,Unforgettable hosting experience in a grand hall,76000
226,"Mayer, Trantow and Romaguera",48191 Manley Road,1002,Suitable for events up to 1000 guests,51000
227,Murazik-Shields,18827 Shoshone Lane,1427,Complete event package with bar and DJ,1000
228,Conroy LLC,96 Grasskamp Avenue,1421,Complete event package with bar and DJ,36000
229,"Konopelski, Haag and Bechtelar",2 Fieldstone Junction,651,Panoramic view and luxurious atmosphere,2000
230,Brown Group,5289 Nobel Pass,1211,Complete event package with bar and DJ,7000
231,"Schuster, Schaefer and Erdman",8311 Northport Pass,1467,"Designed space for weddings, bar mitzvahs, and conferences",32000
232,Sauer LLC,97 Sage Road,825,Modern hall with full catering services,93000
233,"Abshire, Casper and Connelly",82 Harper Court,754,Suitable for events up to 1000 guests,99000
234,Weimann Group,255 Prairie Rose Street,1384,Complete event package with bar and DJ,15000
235,Grady-Johnson,6363 Northport Plaza,604,"Includes dance floor, professional lighting and sound system",17000
236,"King, Fritsch and Breitenberg",24 American Ash Drive,56,Elegant design with adjacent parking,80000
237,Breitenberg Inc,438 Fallview Court,1119,Unforgettable hosting experience in a grand hall,10000
238,Lind-Bailey,485 Arkansas Street,44,Luxury venue for private and corporate events,8000
239,"Spencer, Graham and Schroeder",1 Darwin Point,632,"Includes dance floor, professional lighting and sound system",65000
240,Swift-Skiles,19 Brickson Park Way,1414,"Includes dance floor, professional lighting and sound system",12000
241,Leffler Group,8148 Jackson Point,381,Modern hall with full catering services,61000
242,Kessler-Blick,08 Saint Paul Pass,136,Unforgettable hosting experience in a grand hall,62000
243,McKenzie-Bailey,2938 Delaware Place,509,"Designed space for weddings, bar mitzvahs, and conferences",14000
244,"Daugherty, King and Walter",17 Canary Circle,174,"Designed space for weddings, bar mitzvahs, and conferences",66000
245,Rippin LLC,04674 Dennis Center,467,Unforgettable hosting experience in a grand hall,58000
246,White-Quigley,81252 Hayes Point,479,"Includes dance floor, professional lighting and sound system",19000
247,"Koepp, Sipes and Schowalter",115 Milwaukee Drive,288,Complete event package with bar and DJ,54000
248,Schmitt Group,16 Shasta Drive,84,Includes outdoor garden for ceremonies and open-air events,8000
249,Kilback Group,2 Nevada Terrace,1243,Complete event package with bar and DJ,22000
250,Gleichner and Sons,3218 Blue Bill Park Way,1041,Luxury venue for private and corporate events,21000
251,"Ward, Glover and Gusikowski",509 Center Center,259,Modern hall with full catering services,90000
252,"Ondricka, Terry and Keebler",3 Northland Parkway,129,Luxury venue for private and corporate events,14000
253,Leffler-Bernier,8504 Boyd Street,638,"Includes dance floor, professional lighting and sound system",34000
254,O'Connell-Bradtke,572 Briar Crest Place,1468,Unforgettable hosting experience in a grand hall,85000
255,"Batz, Harvey and Schultz",78 Maywood Pass,1052,"Designed space for weddings, bar mitzvahs, and conferences",49000
256,Moen-Robel,500 Elgar Point,1468,Complete event package with bar and DJ,81000
257,Emard-Gibson,56 Prairie Rose Lane,1010,Complete event package with bar and DJ,8000
258,Ritchie-Parisian,4973 Fair Oaks Pass,5,Complete event package with bar and DJ,24000
259,"Quitzon, Stark and Leuschke",6 Fulton Park,743,Luxury venue for private and corporate events,48000
260,"Brakus, Stroman and Conroy",2015 Shasta Lane,1065,Includes outdoor garden for ceremonies and open-air events,67000
261,Cummings Group,299 Meadow Valley Circle,953,Unforgettable hosting experience in a grand hall,52000
262,"Barton, Pagac and McLaughlin",828 Marcy Center,933,Modern hall with full catering services,99000
263,"Collier, Parker and Kirlin",2848 Green Ridge Avenue,422,Includes outdoor garden for ceremonies and open-air events,38000
264,Stoltenberg-Beatty,7 Nelson Alley,184,Elegant design with adjacent parking,81000
265,Yundt LLC,13627 Autumn Leaf Court,7,Includes outdoor garden for ceremonies and open-air events,56000
266,"Gutmann, Huels and Lind",52 Darwin Lane,1092,Luxury venue for private and corporate events,52000
267,Reinger-Halvorson,545 Sutherland Pass,1319,Unforgettable hosting experience in a grand hall,6000
268,Weber Group,3374 Haas Junction,1142,"Includes dance floor, professional lighting and sound system",78000
269,Cassin-Abernathy,7667 Gerald Alley,1485,Unforgettable hosting experience in a grand hall,26000
270,"Bednar, Padberg and Farrell",313 Boyd Way,120,Elegant design with adjacent parking,42000
271,Bednar-Towne,40103 Thompson Junction,620,Elegant design with adjacent parking,69000
272,Kuhlman-Huels,05386 Sommers Terrace,76,Includes outdoor garden for ceremonies and open-air events,82000
273,Rempel-West,5563 Declaration Place,17,Modern hall with full catering services,30000
274,Swaniawski-O'Reilly,062 Brickson Park Street,1186,Panoramic view and luxurious atmosphere,56000
275,"Kessler, Jacobi and Strosin",71320 Steensland Place,1100,Includes outdoor garden for ceremonies and open-air events,62000
276,Nienow and Sons,71 Lukken Hill,456,Luxury venue for private and corporate events,47000
277,Schuppe Inc,8248 Lakewood Terrace,1007,Modern hall with full catering services,72000
278,O'Keefe-Corkery,3 Sutherland Parkway,1400,Suitable for events up to 1000 guests,82000
279,Corwin and Sons,2935 Fulton Circle,338,Suitable for events up to 1000 guests,90000
280,Fadel-Waters,52 5th Drive,481,"Designed space for weddings, bar mitzvahs, and conferences",11000
281,"Swift, Bradtke and Johnson",52234 Killdeer Hill,1498,Panoramic view and luxurious atmosphere,2000
282,"Koch, Dietrich and Cormier",0234 Kropf Road,313,Unforgettable hosting experience in a grand hall,93000
283,Crooks and Sons,74 Shoshone Lane,1394,Unforgettable hosting experience in a grand hall,69000
284,Gleason-Johns,84796 Shasta Hill,535,"Designed space for weddings, bar mitzvahs, and conferences",68000
285,Emmerich Group,1 Ryan Trail,1485,Modern hall with full catering services,99000
286,Bergnaum-Stark,2372 Homewood Hill,1153,Panoramic view and luxurious atmosphere,1000
287,Schuster-Fay,2 Eagan Park,578,Elegant design with adjacent parking,5000
288,"Herzog, Schmitt and Hoppe",789 Badeau Street,357,Modern hall with full catering services,77000
289,Schowalter-Brakus,727 Grayhawk Drive,177,Suitable for events up to 1000 guests,89000
290,"Jones, Lockman and Leannon",70 Schiller Center,207,"Designed space for weddings, bar mitzvahs, and conferences",65000
291,Keebler and Sons,00125 Del Mar Terrace,71,Suitable for events up to 1000 guests,71000
292,"Durgan, Sawayn and Hamill",4 Upham Lane,955,Includes outdoor garden for ceremonies and open-air events,86000
293,Olson-Kassulke,8 Bartelt Street,1025,Panoramic view and luxurious atmosphere,72000
294,Bogan Inc,12499 Bonner Circle,1183,Complete event package with bar and DJ,42000
295,Raynor Group,5 Maywood Center,71,Complete event package with bar and DJ,47000
296,Beier-Shanahan,3540 Sauthoff Park,330,Panoramic view and luxurious atmosphere,62000
297,Gorczany Group,5 School Trail,1432,Luxury venue for private and corporate events,84000
298,"Wisoky, McLaughlin and Kuhlman",11620 Sycamore Terrace,737,Unforgettable hosting experience in a grand hall,100000
299,Kautzer and Sons,0242 Golf Course Crossing,232,Suitable for events up to 1000 guests,21000
300,"Keebler, Gerhold and Rodriguez",03138 Ohio Hill,732,Suitable for events up to 1000 guests,6000
301,Barton LLC,064 Green Way,1448,Modern hall with full catering services,69000
