RevId,Rating,RevDescription,RevDate,VenId
125007098,5,Fantastic experience. The staff and service were top-notch.,4/19/2024,37
81205455,3,"Not bad, but room for improvement.",10/29/2024,38
113111378,5,Fantastic experience. The staff and service were top-notch.,8/14/2024,39
75903226,4,Excellent venue. Will definitely book again!,4/5/2024,40
111319538,1,Terrible experience. The venue was dirty and poorly maintained.,5/26/2024,41
71921833,4,Excellent venue. Will definitely book again!,11/28/2024,42
111909634,1,Below expectations. Many things went wrong during the event.,1/23/2025,43
11101752,3,"The venue was okay, nothing special.",12/11/2024,44
111101995,2,Very disappointed. Staff was rude and unhelpful.,8/27/2024,45
65300486,4,Beautiful location and very well organized event.,10/3/2024,46
67001275,5,We had an amazing time. Everything went perfectly.,6/18/2024,47
101104342,3,"Average experience. Some things were good, others not so much.",3/1/2025,48
71111986,5,Beautiful location and very well organized event.,5/20/2024,49
41215278,5,Beautiful location and very well organized event.,3/22/2025,50
314073008,3,"The event went smoothly, but the ambiance was lacking.",10/2/2024,51
111901454,2,Unpleasant atmosphere and poor service overall.,12/8/2024,52
73922005,5,We had an amazing time. Everything went perfectly.,4/14/2024,53
91501204,1,Would not recommend. The event was disorganized.,3/29/2025,54
83905083,5,Fantastic experience. The staff and service were top-notch.,6/13/2024,55
101104436,5,Beautiful location and very well organized event.,6/1/2024,56
11600570,3,"Average experience. Some things were good, others not so much.",5/17/2024,57
324377011,1,Very disappointed. Staff was rude and unhelpful.,8/12/2024,58
65403477,3,"Not bad, but room for improvement.",12/10/2024,59
111902819,5,We had an amazing time. Everything went perfectly.,5/3/2024,60
211370493,3,"The event went smoothly, but the ambiance was lacking.",10/9/2024,61
103102546,5,We had an amazing time. Everything went perfectly.,3/29/2025,62
125107008,5,Excellent venue. Will definitely book again!,2/21/2025,63
283972230,2,Unpleasant atmosphere and poor service overall.,4/26/2024,64
75911195,1,Terrible experience. The venue was dirty and poorly maintained.,7/4/2024,65
112204286,2,Terrible experience. The venue was dirty and poorly maintained.,4/5/2024,66
101113812,5,Beautiful location and very well organized event.,3/3/2025,67
113101773,5,Beautiful location and very well organized event.,3/4/2025,68
271189491,4,Excellent venue. Will definitely book again!,8/14/2024,69
84003900,3,"Average experience. Some things were good, others not so much.",10/15/2024,70
271974295,3,"The event went smoothly, but the ambiance was lacking.",12/20/2024,71
71925839,4,We had an amazing time. Everything went perfectly.,9/11/2024,72
111916180,2,Below expectations. Many things went wrong during the event.,5/5/2024,73
103111155,3,"The venue was okay, nothing special.",5/30/2024,74
21200575,2,Unpleasant atmosphere and poor service overall.,4/24/2024,75
51501150,3,"Not bad, but room for improvement.",4/7/2024,76
125108939,2,Would not recommend. The event was disorganized.,9/12/2024,77
74902082,4,Excellent venue. Will definitely book again!,11/12/2024,78
91409487,3,"The event went smoothly, but the ambiance was lacking.",10/11/2024,79
103103215,3,"Average experience. Some things were good, others not so much.",5/20/2024,80
221380114,5,Beautiful location and very well organized event.,6/23/2024,81
72413748,5,Beautiful location and very well organized event.,2/13/2025,82
91807254,2,Terrible experience. The venue was dirty and poorly maintained.,9/13/2024,83
82901460,3,"Not bad, but room for improvement.",8/28/2024,84
271974046,2,Unpleasant atmosphere and poor service overall.,3/16/2025,85
311078802,5,Fantastic experience. The staff and service were top-notch.,4/12/2024,86
71025661,2,Unpleasant atmosphere and poor service overall.,9/18/2024,87
42000424,4,Beautiful location and very well organized event.,7/31/2024,88
102000076,3,"The event went smoothly, but the ambiance was lacking.",2/3/2025,89
114000721,5,Excellent venue. Will definitely book again!,4/23/2024,90
103101165,3,"The venue was okay, nothing special.",5/27/2024,91
43308277,2,Terrible experience. The venue was dirty and poorly maintained.,11/16/2024,92
271990295,2,Would not recommend. The event was disorganized.,12/5/2024,93
67003985,1,Terrible experience. The venue was dirty and poorly maintained.,10/29/2024,94
31902876,3,"It was fine, but could have been better.",2/13/2025,95
74000010,3,"It was fine, but could have been better.",9/19/2024,96
107003612,3,"The event went smoothly, but the ambiance was lacking.",9/30/2024,97
73921543,3,"It was fine, but could have been better.",11/28/2024,98
124103773,5,We had an amazing time. Everything went perfectly.,1/2/2025,99
75912233,5,Absolutely wonderful venue! Highly recommend it.,1/17/2025,100
271970066,1,Below expectations. Many things went wrong during the event.,8/4/2024,101
73921718,2,Would not recommend. The event was disorganized.,10/1/2024,102
114993906,1,Below expectations. Many things went wrong during the event.,4/25/2024,103
82908573,5,Excellent venue. Will definitely book again!,4/24/2024,104
111312894,4,Beautiful location and very well organized event.,9/13/2024,105
92901078,4,Fantastic experience. The staff and service were top-notch.,6/15/2024,106
113024407,3,"The venue was okay, nothing special.",5/31/2024,107
42107068,1,Very disappointed. Staff was rude and unhelpful.,5/25/2024,108
11400071,3,"The venue was okay, nothing special.",11/27/2024,109
273970640,3,"The venue was okay, nothing special.",2/25/2025,110
111310841,1,Very disappointed. Staff was rude and unhelpful.,11/16/2024,111
26011882,1,Unpleasant atmosphere and poor service overall.,6/16/2024,112
73901929,4,Absolutely wonderful venue! Highly recommend it.,9/22/2024,113
104902363,3,"The venue was okay, nothing special.",11/8/2024,114
111313479,5,Absolutely wonderful venue! Highly recommend it.,9/14/2024,115
92901175,3,"The event went smoothly, but the ambiance was lacking.",8/11/2024,116
61111653,5,Beautiful location and very well organized event.,12/11/2024,117
211371450,4,Excellent venue. Will definitely book again!,7/24/2024,118
122237751,1,Below expectations. Many things went wrong during the event.,11/3/2024,119
253177476,4,Absolutely wonderful venue! Highly recommend it.,4/12/2024,120
44000642,1,Below expectations. Many things went wrong during the event.,8/13/2024,121
53112343,2,Very disappointed. Staff was rude and unhelpful.,5/12/2024,122
74001048,4,We had an amazing time. Everything went perfectly.,10/29/2024,123
122038277,4,Fantastic experience. The staff and service were top-notch.,1/28/2025,124
51400361,5,Fantastic experience. The staff and service were top-notch.,9/25/2024,125
82901619,1,Unpleasant atmosphere and poor service overall.,3/23/2025,126
113105449,1,Unpleasant atmosphere and poor service overall.,5/7/2024,127
307070267,5,Excellent venue. Will definitely book again!,12/28/2024,128
113123560,3,"The venue was okay, nothing special.",10/14/2024,129
114917908,5,Fantastic experience. The staff and service were top-notch.,9/4/2024,130
111907652,1,Would not recommend. The event was disorganized.,3/28/2025,131
84202235,4,We had an amazing time. Everything went perfectly.,7/23/2024,132
53112233,4,We had an amazing time. Everything went perfectly.,4/24/2024,133
113024407,1,Very disappointed. Staff was rude and unhelpful.,8/22/2024,134
113024274,4,Excellent venue. Will definitely book again!,12/23/2024,135
111323016,5,Absolutely wonderful venue! Highly recommend it.,4/3/2024,136
84107699,5,Fantastic experience. The staff and service were top-notch.,2/2/2025,137
81905182,5,Absolutely wonderful venue! Highly recommend it.,4/24/2024,138
71107699,2,Below expectations. Many things went wrong during the event.,4/26/2024,139
84008646,1,Below expectations. Many things went wrong during the event.,3/6/2025,140
107003418,4,Fantastic experience. The staff and service were top-notch.,7/16/2024,141
122105948,2,Unpleasant atmosphere and poor service overall.,8/6/2024,142
322070019,4,Fantastic experience. The staff and service were top-notch.,3/20/2025,143
103101482,2,Terrible experience. The venue was dirty and poorly maintained.,5/8/2024,144
71002707,3,"It was fine, but could have been better.",8/24/2024,145
65502608,3,"It was fine, but could have been better.",1/15/2025,146
122105249,5,Beautiful location and very well organized event.,5/14/2024,147
124300327,4,Fantastic experience. The staff and service were top-notch.,4/10/2024,148
211179995,4,We had an amazing time. Everything went perfectly.,1/23/2025,149
54000807,2,Would not recommend. The event was disorganized.,10/9/2024,150
111104879,2,Terrible experience. The venue was dirty and poorly maintained.,5/21/2024,151
313071920,3,"Not bad, but room for improvement.",4/25/2024,152
21207044,5,Fantastic experience. The staff and service were top-notch.,2/27/2025,153
75000051,4,Excellent venue. Will definitely book again!,12/30/2024,154
322270521,1,Would not recommend. The event was disorganized.,8/15/2024,155
91408161,2,Below expectations. Many things went wrong during the event.,5/29/2024,156
83905083,2,Would not recommend. The event was disorganized.,4/15/2024,157
65400137,2,Unpleasant atmosphere and poor service overall.,4/15/2024,158
113105025,3,"Average experience. Some things were good, others not so much.",4/10/2024,159
114924182,4,Fantastic experience. The staff and service were top-notch.,4/6/2024,160
243373206,3,"The event went smoothly, but the ambiance was lacking.",8/8/2024,161
91204569,5,We had an amazing time. Everything went perfectly.,4/17/2024,162
61102701,4,Fantastic experience. The staff and service were top-notch.,5/7/2024,163
113104178,5,Excellent venue. Will definitely book again!,6/5/2024,164
322078804,4,Fantastic experience. The staff and service were top-notch.,1/28/2025,165
53185406,1,Unpleasant atmosphere and poor service overall.,7/26/2024,166
71905846,3,"It was fine, but could have been better.",12/4/2024,167
31100908,3,"Average experience. Some things were good, others not so much.",12/26/2024,168
21031207,4,Beautiful location and very well organized event.,8/20/2024,169
322273272,5,Fantastic experience. The staff and service were top-notch.,9/8/2024,170
103000240,3,"The event went smoothly, but the ambiance was lacking.",3/14/2025,171
123006389,3,"Not bad, but room for improvement.",9/29/2024,172
21411335,2,Very disappointed. Staff was rude and unhelpful.,5/21/2024,173
104104750,2,Unpleasant atmosphere and poor service overall.,8/5/2024,174
31305253,4,Fantastic experience. The staff and service were top-notch.,8/25/2024,175
63200407,1,Very disappointed. Staff was rude and unhelpful.,5/30/2024,176
211070175,4,Excellent venue. Will definitely book again!,7/13/2024,177
122287170,4,Beautiful location and very well organized event.,10/7/2024,178
61101294,5,We had an amazing time. Everything went perfectly.,5/20/2024,179
83914016,5,Fantastic experience. The staff and service were top-notch.,12/11/2024,180
81000045,1,Would not recommend. The event was disorganized.,1/16/2025,181
211872959,3,"The event went smoothly, but the ambiance was lacking.",2/25/2025,182
51402233,1,Terrible experience. The venue was dirty and poorly maintained.,1/1/2025,183
21307559,2,Terrible experience. The venue was dirty and poorly maintained.,11/24/2024,184
42100175,3,"The event went smoothly, but the ambiance was lacking.",5/26/2024,185
101104504,1,Terrible experience. The venue was dirty and poorly maintained.,1/18/2025,186
321173205,1,Very disappointed. Staff was rude and unhelpful.,10/12/2024,187
111104921,5,We had an amazing time. Everything went perfectly.,2/4/2025,188
65201064,1,Would not recommend. The event was disorganized.,8/21/2024,189
75910798,2,Terrible experience. The venue was dirty and poorly maintained.,2/21/2025,190
102101645,2,Below expectations. Many things went wrong during the event.,5/23/2024,191
101101989,5,Absolutely wonderful venue! Highly recommend it.,1/11/2025,192
322077818,1,Would not recommend. The event was disorganized.,2/4/2025,193
114024969,4,Beautiful location and very well organized event.,4/5/2024,194
71105507,5,We had an amazing time. Everything went perfectly.,5/30/2024,195
122237308,5,Absolutely wonderful venue! Highly recommend it.,7/9/2024,196
122105249,5,Beautiful location and very well organized event.,7/10/2024,197
241070459,5,Absolutely wonderful venue! Highly recommend it.,11/4/2024,198
53111577,4,We had an amazing time. Everything went perfectly.,5/13/2024,199
44212922,2,Terrible experience. The venue was dirty and poorly maintained.,12/4/2024,200
41204166,3,"Average experience. Some things were good, others not so much.",6/11/2024,201
122203248,5,We had an amazing time. Everything went perfectly.,9/8/2024,202
84107893,4,Fantastic experience. The staff and service were top-notch.,2/3/2025,203
101903637,3,"Not bad, but room for improvement.",9/23/2024,204
74902215,3,"The event went smoothly, but the ambiance was lacking.",5/2/2024,205
91409571,1,Below expectations. Many things went wrong during the event.,9/29/2024,206
261270417,2,Unpleasant atmosphere and poor service overall.,1/12/2025,207
72404948,1,Unpleasant atmosphere and poor service overall.,2/7/2025,208
211384162,3,"It was fine, but could have been better.",8/4/2024,209
113110379,3,"The venue was okay, nothing special.",4/30/2024,210
81905182,1,Terrible experience. The venue was dirty and poorly maintained.,2/5/2025,211
21307708,4,Fantastic experience. The staff and service were top-notch.,9/27/2024,212
81517981,3,"It was fine, but could have been better.",2/7/2025,213
67014110,2,Unpleasant atmosphere and poor service overall.,10/6/2024,214
122238200,5,Absolutely wonderful venue! Highly recommend it.,5/28/2024,215
91408446,2,Below expectations. Many things went wrong during the event.,5/29/2024,216
264271361,1,Below expectations. Many things went wrong during the event.,4/28/2024,217
122243457,1,Below expectations. Many things went wrong during the event.,10/8/2024,218
112093808,4,Beautiful location and very well organized event.,1/22/2025,219
53908081,3,"Average experience. Some things were good, others not so much.",4/2/2024,220
111319347,1,Would not recommend. The event was disorganized.,10/11/2024,221
42306720,3,"It was fine, but could have been better.",3/22/2025,222
81500493,3,"Average experience. Some things were good, others not so much.",6/26/2024,223
122238543,3,"The event went smoothly, but the ambiance was lacking.",2/4/2025,224
323270436,3,"It was fine, but could have been better.",12/22/2024,225
11201335,1,Would not recommend. The event was disorganized.,7/12/2024,226
101000789,5,Beautiful location and very well organized event.,5/27/2024,227
101108377,4,Beautiful location and very well organized event.,8/10/2024,228
74000010,3,"Average experience. Some things were good, others not so much.",7/27/2024,229
271171674,4,Excellent venue. Will definitely book again!,3/25/2025,230
63114920,5,We had an amazing time. Everything went perfectly.,5/9/2024,231
112207209,5,Beautiful location and very well organized event.,12/13/2024,232
111323951,4,We had an amazing time. Everything went perfectly.,10/24/2024,233
72404786,3,"The venue was okay, nothing special.",9/3/2024,234
123006800,3,"It was fine, but could have been better.",5/28/2024,235
62102849,3,"The event went smoothly, but the ambiance was lacking.",10/2/2024,236
42306720,5,We had an amazing time. Everything went perfectly.,4/28/2024,237
51401331,2,Below expectations. Many things went wrong during the event.,4/28/2024,238
53112152,4,Absolutely wonderful venue! Highly recommend it.,10/18/2024,239
64109073,5,Fantastic experience. The staff and service were top-notch.,6/6/2024,240
101000019,5,Absolutely wonderful venue! Highly recommend it.,11/28/2024,241
64103914,1,Terrible experience. The venue was dirty and poorly maintained.,1/5/2025,242
65402313,4,Excellent venue. Will definitely book again!,11/10/2024,243
103102106,1,Below expectations. Many things went wrong during the event.,4/2/2024,244
83908530,2,Below expectations. Many things went wrong during the event.,7/23/2024,245
91904872,3,"The event went smoothly, but the ambiance was lacking.",2/13/2025,246
75911603,1,Below expectations. Many things went wrong during the event.,1/8/2025,247
124084672,2,Unpleasant atmosphere and poor service overall.,1/23/2025,248
71915580,5,Absolutely wonderful venue! Highly recommend it.,3/19/2025,249
31205955,1,Terrible experience. The venue was dirty and poorly maintained.,9/4/2024,250
107005319,2,Would not recommend. The event was disorganized.,6/26/2024,251
113110667,2,Below expectations. Many things went wrong during the event.,8/1/2024,252
104000016,4,Beautiful location and very well organized event.,8/25/2024,253
107000152,3,"The venue was okay, nothing special.",5/15/2024,254
114902528,3,"Not bad, but room for improvement.",8/11/2024,255
211170169,3,"Average experience. Some things were good, others not so much.",10/25/2024,256
26006224,1,Below expectations. Many things went wrong during the event.,1/30/2025,257
122241200,1,Unpleasant atmosphere and poor service overall.,10/15/2024,258
73920777,5,Absolutely wonderful venue! Highly recommend it.,4/3/2024,259
101201892,1,Very disappointed. Staff was rude and unhelpful.,6/1/2024,260
125008220,1,Terrible experience. The venue was dirty and poorly maintained.,7/31/2024,261
75012531,1,Would not recommend. The event was disorganized.,7/23/2024,262
125108191,5,Absolutely wonderful venue! Highly recommend it.,2/14/2025,263
65400140,2,Very disappointed. Staff was rude and unhelpful.,7/24/2024,264
72401404,5,Beautiful location and very well organized event.,10/5/2024,265
101100540,2,Very disappointed. Staff was rude and unhelpful.,1/7/2025,266
101102182,2,Very disappointed. Staff was rude and unhelpful.,7/4/2024,267
62202367,4,Absolutely wonderful venue! Highly recommend it.,10/8/2024,268
91909217,2,Very disappointed. Staff was rude and unhelpful.,10/19/2024,269
61292433,3,"It was fine, but could have been better.",2/11/2025,270
102307164,4,Beautiful location and very well organized event.,11/10/2024,271
42208006,2,Below expectations. Many things went wrong during the event.,5/17/2024,272
11110701,1,Below expectations. Many things went wrong during the event.,5/16/2024,273
101103356,4,Beautiful location and very well organized event.,11/20/2024,274
64204305,1,Unpleasant atmosphere and poor service overall.,8/28/2024,275
221272565,3,"Not bad, but room for improvement.",6/5/2024,276
52001633,5,Beautiful location and very well organized event.,5/2/2024,277
101100265,2,Unpleasant atmosphere and poor service overall.,6/3/2024,278
22300160,3,"The venue was okay, nothing special.",10/10/2024,279
21001318,3,"The venue was okay, nothing special.",10/30/2024,280
11201380,3,"Average experience. Some things were good, others not so much.",5/12/2024,281
11100106,5,Beautiful location and very well organized event.,5/11/2024,282
112201959,4,Fantastic experience. The staff and service were top-notch.,4/19/2024,283
11104047,4,We had an amazing time. Everything went perfectly.,1/13/2025,284
253174851,3,"Not bad, but room for improvement.",4/21/2024,285
123204013,1,Terrible experience. The venue was dirty and poorly maintained.,8/11/2024,286
64004181,3,"It was fine, but could have been better.",6/21/2024,287
31918527,1,Terrible experience. The venue was dirty and poorly maintained.,7/16/2024,288
71001630,3,"The event went smoothly, but the ambiance was lacking.",6/29/2024,289
31100160,4,Absolutely wonderful venue! Highly recommend it.,5/6/2024,290
103901491,3,"It was fine, but could have been better.",8/3/2024,291
75912233,2,Very disappointed. Staff was rude and unhelpful.,11/29/2024,292
11201306,1,Terrible experience. The venue was dirty and poorly maintained.,4/23/2024,293
44000024,5,We had an amazing time. Everything went perfectly.,3/10/2025,294
226070270,4,Fantastic experience. The staff and service were top-notch.,4/4/2024,295
103109374,5,Beautiful location and very well organized event.,9/20/2024,296
43303447,1,Would not recommend. The event was disorganized.,1/1/2025,297
103109840,3,"The venue was okay, nothing special.",1/12/2025,298
325180414,2,Terrible experience. The venue was dirty and poorly maintained.,4/28/2024,299
122105249,2,Below expectations. Many things went wrong during the event.,9/17/2024,300
21906934,4,Beautiful location and very well organized event.,2/25/2025,301
72413748,2,Terrible experience. The venue was dirty and poorly maintained.,3/18/2025,302
51008828,5,Excellent venue. Will definitely book again!,8/13/2024,303
52100929,2,Very disappointed. Staff was rude and unhelpful.,12/15/2024,304
63114946,2,Below expectations. Many things went wrong during the event.,11/25/2024,305
72402212,5,Beautiful location and very well organized event.,1/24/2025,306
271971829,1,Terrible experience. The venue was dirty and poorly maintained.,4/8/2024,307
51404529,1,Below expectations. Many things went wrong during the event.,11/11/2024,308
101115001,1,Terrible experience. The venue was dirty and poorly maintained.,7/7/2024,309
101101921,2,Would not recommend. The event was disorganized.,7/11/2024,310
114904979,5,We had an amazing time. Everything went perfectly.,2/7/2025,311
83905449,4,Fantastic experience. The staff and service were top-notch.,11/13/2024,312
104901238,3,"The venue was okay, nothing special.",1/5/2025,313
111904150,2,Very disappointed. Staff was rude and unhelpful.,7/11/2024,314
71916408,5,Beautiful location and very well organized event.,7/16/2024,315
102103562,2,Below expectations. Many things went wrong during the event.,7/14/2024,316
82901020,1,Unpleasant atmosphere and poor service overall.,3/17/2025,317
103103105,1,Terrible experience. The venue was dirty and poorly maintained.,6/4/2024,318
111909634,4,Excellent venue. Will definitely book again!,6/6/2024,319
21000678,2,Would not recommend. The event was disorganized.,7/16/2024,320
122243596,4,Beautiful location and very well organized event.,3/15/2025,321
74907414,1,Below expectations. Many things went wrong during the event.,7/26/2024,322
112204286,3,"The event went smoothly, but the ambiance was lacking.",3/4/2025,323
111912605,5,Beautiful location and very well organized event.,7/10/2024,324
314088048,5,Fantastic experience. The staff and service were top-notch.,2/11/2025,325
82908777,1,Unpleasant atmosphere and poor service overall.,3/21/2025,326
31301053,4,Excellent venue. Will definitely book again!,9/20/2024,327
31306100,5,Excellent venue. Will definitely book again!,7/22/2024,328
107002503,4,Fantastic experience. The staff and service were top-notch.,4/26/2024,329
322280485,4,We had an amazing time. Everything went perfectly.,1/5/2025,330
83905546,3,"Not bad, but room for improvement.",6/27/2024,331
221471971,1,Would not recommend. The event was disorganized.,8/3/2024,332
311972652,2,Very disappointed. Staff was rude and unhelpful.,7/26/2024,333
322271096,1,Terrible experience. The venue was dirty and poorly maintained.,1/2/2025,334
322070019,3,"It was fine, but could have been better.",9/24/2024,335
91915311,3,"The venue was okay, nothing special.",6/19/2024,336
107006075,3,"Average experience. Some things were good, others not so much.",12/1/2024,337
44112187,3,"The venue was okay, nothing special.",4/27/2024,338
62206431,4,Excellent venue. Will definitely book again!,4/20/2024,339
102301513,3,"Not bad, but room for improvement.",12/9/2024,340
226078049,1,Terrible experience. The venue was dirty and poorly maintained.,3/14/2025,341
55002244,5,We had an amazing time. Everything went perfectly.,11/22/2024,342
256073302,5,Fantastic experience. The staff and service were top-notch.,7/15/2024,343
56008852,3,"Not bad, but room for improvement.",1/15/2025,344
51402071,1,Would not recommend. The event was disorganized.,10/21/2024,345
71919463,3,"It was fine, but could have been better.",5/28/2024,346
242170565,3,"It was fine, but could have been better.",12/8/2024,347
31100092,1,Unpleasant atmosphere and poor service overall.,12/20/2024,348
52100893,2,Would not recommend. The event was disorganized.,4/15/2024,349
121108959,3,"Not bad, but room for improvement.",7/15/2024,350
75902340,3,"The venue was okay, nothing special.",1/23/2025,351
53112097,3,"It was fine, but could have been better.",11/11/2024,352
91308371,3,"The event went smoothly, but the ambiance was lacking.",3/3/2025,353
55002244,4,Excellent venue. Will definitely book again!,6/1/2024,354
84108795,4,Beautiful location and very well organized event.,1/14/2025,355
91903844,5,We had an amazing time. Everything went perfectly.,4/11/2024,356
113124035,1,Very disappointed. Staff was rude and unhelpful.,3/3/2025,357
67011760,1,Unpleasant atmosphere and poor service overall.,2/10/2025,358
275971582,5,Excellent venue. Will definitely book again!,5/16/2024,359
282970437,2,Terrible experience. The venue was dirty and poorly maintained.,1/4/2025,360
101001005,4,We had an amazing time. Everything went perfectly.,11/21/2024,361
64103833,3,"Average experience. Some things were good, others not so much.",6/17/2024,362
91408996,4,Fantastic experience. The staff and service were top-notch.,3/20/2025,363
107002147,3,"The venue was okay, nothing special.",10/25/2024,364
52000634,1,Terrible experience. The venue was dirty and poorly maintained.,8/1/2024,365
104111769,5,We had an amazing time. Everything went perfectly.,3/31/2025,366
91210744,3,"It was fine, but could have been better.",2/5/2025,367
83903085,5,Absolutely wonderful venue! Highly recommend it.,9/18/2024,368
84107628,1,Very disappointed. Staff was rude and unhelpful.,3/10/2025,369
91906760,3,"Not bad, but room for improvement.",3/15/2025,370
71200538,1,Below expectations. Many things went wrong during the event.,9/27/2024,371
101003317,3,"The venue was okay, nothing special.",7/6/2024,372
125108450,4,Absolutely wonderful venue! Highly recommend it.,3/15/2025,373
122402081,3,"It was fine, but could have been better.",6/7/2024,374
71925130,2,Would not recommend. The event was disorganized.,3/10/2025,375
104112409,2,Would not recommend. The event was disorganized.,8/13/2024,376
114924690,3,"Average experience. Some things were good, others not so much.",9/10/2024,377
101114646,1,Would not recommend. The event was disorganized.,4/13/2024,378
62202082,5,Absolutely wonderful venue! Highly recommend it.,8/26/2024,379
43318092,4,Beautiful location and very well organized event.,7/19/2024,380
101000035,2,Terrible experience. The venue was dirty and poorly maintained.,1/7/2025,381
114917623,4,Fantastic experience. The staff and service were top-notch.,8/27/2024,382
267087358,1,Below expectations. Many things went wrong during the event.,11/1/2024,383
65300020,2,Below expectations. Many things went wrong during the event.,8/18/2024,384
56009110,4,Absolutely wonderful venue! Highly recommend it.,12/13/2024,385
81220524,4,We had an amazing time. Everything went perfectly.,1/4/2025,386
73913344,1,Unpleasant atmosphere and poor service overall.,3/20/2025,387
51401043,4,We had an amazing time. Everything went perfectly.,7/22/2024,388
114921622,2,Would not recommend. The event was disorganized.,2/15/2025,389
113123560,2,Terrible experience. The venue was dirty and poorly maintained.,9/20/2024,390
26002626,4,Absolutely wonderful venue! Highly recommend it.,2/17/2025,391
91400020,5,Beautiful location and very well organized event.,7/21/2024,392
211070146,3,"It was fine, but could have been better.",2/3/2025,393
74913712,1,Unpleasant atmosphere and poor service overall.,11/21/2024,394
113109720,1,Below expectations. Many things went wrong during the event.,8/31/2024,395
111300880,4,Beautiful location and very well organized event.,3/18/2025,396
103101107,3,"Not bad, but room for improvement.",2/16/2025,397
82907862,5,Beautiful location and very well organized event.,5/13/2024,398
101000048,4,Beautiful location and very well organized event.,8/13/2024,399
71905095,4,Fantastic experience. The staff and service were top-notch.,9/24/2024,400
