EventId,EventType,EventDate,Available_seats,Additional_fees
137,Bat Mitzvah,6/4/2025,1456,Premium Bar
138,Wedding,5/2/2025,1205,Transportation Services
139,Bachelorette Party,11/1/2025,274,Special Sound System
140,Wedding,11/27/2025,10,Premium Bar
141,Bar Mitzvah,9/7/2025,238,Floral Decorations
142,Wedding,6/7/2025,132,Special Lighting
143,Engagement,12/16/2025,523,Premium Bar
144,Wedding,10/19/2025,578,Special Sound System
145,Bat Mitzvah,7/8/2025,1250,VIP DJ
146,Wedding,4/12/2025,455,Premium Bar
147,Birthday Party,6/6/2025,385,Special Food Stations
148,Wedding,8/27/2025,395,Floral Decorations
149,Bar Mitzvah,4/22/2025,644,Special Sound System
150,Wedding,9/16/2025,60,Premium Bar
151,Brit/Circumcision,11/25/2025,1143,Video Photography
152,Wedding,4/24/2025,932,Special Lighting
153,Engagement,12/19/2025,493,Premium Bar
154,Wedding,11/8/2025,1259,Floral Decorations
155,Bachelorette Party,8/2/2025,234,Special Sound System
156,Wedding,5/23/2025,593,Premium Bar
157,Bat Mitzvah,10/16/2025,603,VIP DJ
158,Wedding,8/9/2025,1414,Special Food Stations
159,Bar Mitzvah,4/19/2025,1021,Premium Bar
160,Wedding,9/2/2025,156,Transportation Services
161,Engagement,10/19/2025,420,Special Sound System
162,Wedding,11/3/2025,1187,Premium Bar
163,Birthday Party,12/30/2025,792,Floral Decorations
164,Wedding,6/7/2025,1011,Special Lighting
165,Bat Mitzvah,9/6/2025,219,Premium Bar
166,Wedding,10/28/2025,1082,VIP DJ
167,Bar Mitzvah,7/13/2025,463,Special Sound System
168,Wedding,8/30/2025,130,Premium Bar
169,Engagement,10/10/2025,63,Floral Decorations
170,Wedding,5/5/2025,1240,Special Food Stations
171,Bachelorette Party,12/3/2025,383,Premium Bar
172,Wedding,11/17/2025,1462,Special Sound System
173,Brit/Circumcision,5/29/2025,159,Video Photography
174,Wedding,11/4/2025,1252,Premium Bar
175,Bar Mitzvah,6/10/2025,741,Special Lighting
176,Wedding,8/28/2025,191,Floral Decorations
177,Bat Mitzvah,10/20/2025,452,Premium Bar
178,Wedding,5/2/2025,312,VIP DJ
179,Engagement,9/13/2025,328,Special Sound System
180,Wedding,7/25/2025,704,Premium Bar
181,Birthday Party,5/16/2025,1109,Transportation Services
182,Wedding,4/28/2025,1339,Special Food Stations
183,Bar Mitzvah,11/15/2025,944,Premium Bar
184,Wedding,5/24/2025,375,Floral Decorations
185,Engagement,4/12/2025,263,Special Sound System
186,Wedding,5/30/2025,814,Premium Bar
187,Bachelorette Party,6/28/2025,196,VIP DJ
188,Wedding,11/11/2025,485,Special Lighting
189,Bat Mitzvah,9/27/2025,1127,Premium Bar
190,Wedding,4/26/2025,136,Floral Decorations
191,Bar Mitzvah,12/23/2025,256,Special Sound System
192,Wedding,4/11/2025,1460,Premium Bar
193,Engagement,8/27/2025,1360,Video Photography
194,Wedding,4/30/2025,679,Special Food Stations
195,Brit/Circumcision,4/11/2025,45,Premium Bar
196,Wedding,8/6/2025,638,Special Lighting
197,Bat Mitzvah,9/14/2025,253,VIP DJ
198,Wedding,8/16/2025,728,Premium Bar
199,Bar Mitzvah,10/19/2025,611,Floral Decorations
200,Wedding,5/27/2025,884,Special Sound System
201,Wedding,10/12/2025,859,Special Lighting.
202,Corporate Event,4/26/2025,533,Special Sound System.
203,Birthday Party,9/21/2025,523,Premium Bar.
204,Wedding,6/1/2025,1074,VIP DJ.
205,Corporate Event,3/5/2025,1407,Exclusive Catering.
206,Corporate Event,2/18/2025,327,Custom Decorations.
207,Birthday Party,1/15/2025,8,Live Music Performance.
208,Wedding,11/10/2025,1375,Themed Photo Booth.
209,Corporate Event,6/2/2025,111,Interactive Games.
210,Corporate Event,9/30/2025,1387,Signature Cocktails.
211,Birthday Party,10/11/2025,1185,Custom Cake Design.
212,Corporate Event,8/25/2025,246,VIP Lounge.
213,Wedding,7/3/2025,207,Luxury Seating.
214,Corporate Event,5/19/2025,1193,Professional Event Planner.
215,Birthday Party,6/22/2025,183,Photo Slideshow.
216,Corporate Event,11/6/2025,766,Interactive Speaker Panel.
217,Wedding,7/15/2025,206,Custom Wedding Favors.
218,Birthday Party,7/30/2025,342,Fun Party Games.
219,Corporate Event,10/29/2025,677,Branded Merchandise.
220,Wedding,6/7/2025,1209,Live Streaming.
221,Corporate Event,8/17/2025,625,Guest Speaker.
222,Corporate Event,12/7/2025,327,Event App for Attendees.
223,Wedding,4/20/2025,180,Luxury Decor.
224,Birthday Party,6/4/2025,404,Themed Party Supplies.
225,Wedding,8/15/2025,668,Floral Arrangements.
226,Corporate Event,5/13/2025,208,VIP Parking.
227,Birthday Party,12/25/2025,673,Party Favors.
228,Wedding,9/2/2025,361,Luxury Wedding Cake.
229,Corporate Event,6/16/2025,47,Professional Photographers.
230,Birthday Party,8/26/2025,574,Kids’ Entertainment.
231,Wedding,5/27/2025,1068,Custom Invitations.
232,Corporate Event,9/8/2025,841,Mobile Charging Stations.
233,Birthday Party,10/8/2025,26,Themed Party Games.
234,Wedding,7/22/2025,66,Customized Party Favors.
235,Corporate Event,9/21/2025,209,Event Documentation.
236,Birthday Party,10/25/2025,189,Interactive Icebreaker Games.
237,Corporate Event,5/28/2025,846,Outdoor Lounge Area.
238,Wedding,12/5/2025,1431,Live Band Performance.
239,Corporate Event,6/30/2025,1011,Networking Lounge.
240,Birthday Party,9/24/2025,50,Party Photographers.
241,Corporate Event,10/28/2025,1428,Virtual Event Platform.
242,Wedding,9/29/2025,85,Exclusive Seating.
243,Corporate Event,4/21/2025,1369,Team Building Activities.
244,Birthday Party,12/22/2025,355,Custom Party Decorations.
245,Wedding,12/4/2025,274,Floral Photography.
246,Corporate Event,9/1/2025,309,Branded Event Merchandise.
247,Birthday Party,9/12/2025,678,Personalized Party Gifts.
248,Wedding,6/17/2025,397,Luxury Wedding Photography.
249,Corporate Event,4/27/2025,720,Event Invitations.
250,Birthday Party,8/19/2025,605,Themed Cupcakes.
251,Wedding,7/23/2025,20,Exclusive Wedding Entertainment.
252,Corporate Event,12/24/2025,1419,Event Branding.
253,Birthday Party,4/17/2025,1411,Customized Party Favors.
254,Wedding,12/7/2025,1468,Exclusive Venue Access.
255,Corporate Event,9/28/2025,86,Branded Event Gifts.
256,Wedding,6/6/2025,1246,Custom Wedding Decorations.
257,Corporate Event,6/5/2025,317,Team-Building Activities.
258,Birthday Party,6/27/2025,1426,Fun Themed Party Games.
259,Corporate Event,12/1/2025,1301,Virtual Reality Experience.
260,Wedding,12/17/2025,1458,Premium Dinner Service.
261,Birthday Party,5/11/2025,1015,Party Entertainment.
262,Wedding,9/25/2025,1370,Custom Wedding Gown.
263,Corporate Event,5/10/2025,1007,Product Launch Event.
264,Birthday Party,7/15/2025,1018,Personalized Party Favors.
265,Corporate Event,12/23/2025,85,Event Streaming Service.
266,Wedding,4/17/2025,176,Premium Event Catering.
267,Corporate Event,5/27/2025,1299,Interactive Event Experience.
268,Birthday Party,11/12/2025,1040,Party Entertainment.
269,Wedding,4/28/2025,666,Exclusive Wedding Photographer.
270,Corporate Event,10/21/2025,1378,VIP Event Experience.
271,Wedding,5/20/2025,65,Signature Wedding Cocktails.
272,Corporate Event,7/21/2025,356,Guest Engagement Activities.
273,Birthday Party,8/13/2025,630,Party Theme Music.
274,Corporate Event,8/5/2025,904,Interactive Event Games.
275,Wedding,11/29/2025,1037,Grilled Meat Skewers.
276,Corporate Event,11/8/2025,1384,Chocolate Desserts.
277,Birthday Party,9/17/2025,452,Healthy Snack Bar.
278,Wedding,8/9/2025,310,Instant Meal Prep.
279,Corporate Event,6/7/2025,839,Fresh Fruit Platters.
280,Birthday Party,12/22/2025,1290,Portable BBQ Grill.
281,Corporate Event,7/31/2025,906,Kids' Art Station.
282,Wedding,7/5/2025,1420,Avocado Toast Bar.
283,Corporate Event,5/20/2025,333,Yogurt Parfait Station.
284,Birthday Party,10/15/2025,1279,Freshly Baked Muffins.
285,Wedding,5/5/2025,852,Comfortable Seating Area.
286,Corporate Event,6/19/2025,1407,Creative Station.
287,Birthday Party,7/2/2025,1361,Reusable Drinkware.
288,Wedding,5/6/2025,358,Stunning Floral Arrangements.
289,Corporate Event,8/23/2025,527,Roasted Nuts Bar.
290,Birthday Party,6/2/2025,1032,Fitness Tracker Station.
291,Corporate Event,9/18/2025,1167,Electric Grilling Station.
292,Wedding,5/29/2025,423,Water Bottles for Guests.
293,Corporate Event,4/22/2025,612,Instant Coffee Bar.
294,Birthday Party,7/24/2025,168,Mini Pancake Bar.
295,Corporate Event,11/11/2025,1200,Smart Thermostat.
296,Wedding,6/3/2025,1424,Smoothie Station.
297,Corporate Event,9/17/2025,1024,Portable Hammock.
298,Wedding,8/20/2025,98,Vanilla & Chocolate Cookies.
299,Corporate Event,12/10/2025,1109,Professional Knife Set.
300,Wedding,9/22/2025,179,VIP DJ
301,Wedding,7/10/2025,476,Premium Bar
302,Bar Mitzvah,6/20/2025,555,Special Lighting
303,Wedding,12/29/2025,120,Special Sound System
304,Engagement,5/16/2025,214,Floral Decorations
305,Wedding,5/15/2025,283,Premium Bar
306,Bat Mitzvah,7/17/2025,489,VIP DJ
307,Wedding,8/12/2025,1084,Special Food Stations
308,Bachelorette Party,9/30/2025,153,Video Photography
309,Wedding,8/26/2025,1273,Premium Bar
310,Birthday Party,6/16/2025,305,Special Sound System
311,Wedding,7/5/2025,1045,Special Lighting
312,Engagement,4/6/2025,1078,Floral Decorations
313,Wedding,7/6/2025,89,Premium Bar
314,Bar Mitzvah,11/8/2025,159,Special Sound System
315,Wedding,10/15/2025,1245,VIP DJ
316,Brit/Circumcision,5/16/2025,1472,Premium Bar
317,Wedding,9/28/2025,229,Special Food Stations
318,Bat Mitzvah,8/28/2025,427,Transportation Services
319,Wedding,6/17/2025,33,Premium Bar
320,Engagement,9/6/2025,1487,Floral Decorations
321,Wedding,12/21/2025,1228,Special Sound System
322,Bar Mitzvah,5/31/2025,509,VIP DJ
323,Wedding,9/14/2025,649,Premium Bar
324,Bachelorette Party,11/18/2025,263,Special Lighting
325,Wedding,5/24/2025,157,Floral Decorations
326,Bat Mitzvah,12/1/2025,1365,Premium Bar
327,Wedding,4/8/2025,535,Special Food Stations
328,Engagement,9/7/2025,400,Special Sound System
329,Wedding,9/10/2025,534,Premium Bar
330,Birthday Party,10/20/2025,1351,Video Photography
331,Wedding,4/7/2025,27,Special Lighting
332,Bar Mitzvah,4/21/2025,117,Premium Bar
333,Wedding,7/27/2025,667,Floral Decorations
334,Brit/Circumcision,7/1/2025,1263,Special Sound System
335,Wedding,6/25/2025,1481,Premium Bar
336,Engagement,8/18/2025,22,VIP DJ
337,Wedding,12/22/2025,817,Special Food Stations
338,Bat Mitzvah,6/4/2025,1456,Premium Bar
339,Wedding,5/2/2025,1205,Transportation Services
340,Bachelorette Party,11/1/2025,274,Special Sound System
341,Wedding,11/27/2025,10,Premium Bar
342,Bar Mitzvah,9/7/2025,238,Floral Decorations
343,Wedding,6/7/2025,132,Special Lighting
344,Engagement,12/16/2025,523,Premium Bar
345,Wedding,10/19/2025,578,Special Sound System
346,Bat Mitzvah,7/8/2025,1250,VIP DJ
347,Wedding,4/12/2025,455,Premium Bar
348,Birthday Party,6/6/2025,385,Special Food Stations
349,Wedding,8/27/2025,395,Floral Decorations
350,Bar Mitzvah,4/22/2025,644,Special Sound System
351,Wedding,9/16/2025,60,Premium Bar
352,Brit/Circumcision,11/25/2025,1143,Video Photography
353,Wedding,4/24/2025,932,Special Lighting
354,Engagement,12/19/2025,493,Premium Bar
355,Wedding,11/8/2025,1259,Floral Decorations
356,Bachelorette Party,8/2/2025,234,Special Sound System
357,Wedding,5/23/2025,593,Premium Bar
358,Bat Mitzvah,10/16/2025,603,VIP DJ
359,Wedding,8/9/2025,1414,Special Food Stations
360,Bar Mitzvah,4/19/2025,1021,Premium Bar
361,Wedding,9/2/2025,156,Transportation Services
362,Engagement,10/19/2025,420,Special Sound System
363,Wedding,11/3/2025,1187,Premium Bar
364,Birthday Party,12/30/2025,792,Floral Decorations
365,Wedding,6/7/2025,1011,Special Lighting
366,Bat Mitzvah,9/6/2025,219,Premium Bar
367,Wedding,10/28/2025,1082,VIP DJ
368,Bar Mitzvah,7/13/2025,463,Special Sound System
369,Wedding,8/30/2025,130,Premium Bar
370,Engagement,10/10/2025,63,Floral Decorations
371,Wedding,5/5/2025,1240,Special Food Stations
372,Bachelorette Party,12/3/2025,383,Premium Bar
373,Wedding,11/17/2025,1462,Special Sound System
374,Brit/Circumcision,5/29/2025,159,Video Photography
375,Wedding,11/4/2025,1252,Premium Bar
376,Bar Mitzvah,6/10/2025,741,Special Lighting
377,Wedding,8/28/2025,191,Floral Decorations
378,Bat Mitzvah,10/20/2025,452,Premium Bar
379,Wedding,5/2/2025,312,VIP DJ
380,Engagement,9/13/2025,328,Special Sound System
381,Wedding,7/25/2025,704,Premium Bar
382,Birthday Party,5/16/2025,1109,Transportation Services
383,Wedding,4/28/2025,1339,Special Food Stations
384,Bar Mitzvah,11/15/2025,944,Premium Bar
385,Wedding,5/24/2025,375,Floral Decorations
386,Engagement,4/12/2025,263,Special Sound System
387,Wedding,5/30/2025,814,Premium Bar
388,Bachelorette Party,6/28/2025,196,VIP DJ
389,Wedding,11/11/2025,485,Special Lighting
390,Bat Mitzvah,9/27/2025,1127,Premium Bar
391,Wedding,4/26/2025,136,Floral Decorations
392,Bar Mitzvah,12/23/2025,256,Special Sound System
393,Wedding,4/11/2025,1460,Premium Bar
394,Engagement,8/27/2025,1360,Video Photography
395,Wedding,4/30/2025,679,Special Food Stations
396,Brit/Circumcision,4/11/2025,45,Premium Bar
397,Wedding,8/6/2025,638,Special Lighting
398,Bat Mitzvah,9/14/2025,253,VIP DJ
399,Wedding,8/16/2025,728,Premium Bar
400,Bar Mitzvah,10/19/2025,611,Floral Decorations
